itemLink,productImageLink,name,brand,flavor,vgpg,nic,size
https://vapegateae.com/collections/all-e-liquids/products/watermelon-ice-gorilla-fruits-e-liquid-by-e-b-flavor,//vapegateae.com/cdn/shop/files/gorilla-fruits_300x300.png?v=1685355572,Watermelon Ice Gorilla Fruits E Liquid by E&B Flavor,E&B Flavor,"watermelon, ice",['70/30'],[3],"[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/special-k-performance-series-medusa-juice-co-60ml-1,//vapegateae.com/cdn/shop/products/Medusa-Juice-Co-freebase-PERFORMANCE-SERIES_02_300x300.png?v=1681273749,Special K Performance Series - Medusa Juice Co. 60ml,Medusa Juice Co.,mixed berries,['80/20'],[3],[60]
https://vapegateae.com/collections/all-e-liquids/products/mint-ice-gorilla-fruits-e-liquid-by-e-b-flavor,//vapegateae.com/cdn/shop/files/gorilla-fruitsMINT_300x300.png?v=1685355313,Mint Ice Gorilla Fruits E Liquid by E&B Flavor,E&B Flavor,"mint, ice",['70/30'],[3],"[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/brown-sugar-custard-e-liquid-by-e-b-flavor,//vapegateae.com/cdn/shop/files/537a26_c4c5ed08804446c4ac5196920732bc8a_mv2_300x300.webp?v=1685340634,Brown Sugar Custard E Liquid by E&B Flavor,E&B Flavor,custard,['70/30'],[3],"[60, 100]"
https://vapegateae.com/collections/all-e-liquids/products/pod-salt-double-apple-eliquid,//vapegateae.com/cdn/shop/products/3PodSalt-DoubleApple_300x300.png?v=1629261219,Pod Salt - Double Apple Eliquid,Pod Salt,apple,['70/30'],[3],[50]
https://vapegateae.com/collections/all-e-liquids/products/crazy-mango-eliquid-france,//vapegateae.com/cdn/shop/products/WhatsAppImage2022-02-21at8.09.40AM_2_300x300.jpg?v=1645416900,CRAZY MANGO - ELIQUID FRANCE,ELIQUID FRANCE,"mango, menthol",['70/30'],"[0, 3, 6]",[50]
https://vapegateae.com/collections/all-e-liquids/products/pod-salt-cola-lime-eliquid,//vapegateae.com/cdn/shop/products/3PodSalt-ColaLimeEliquid_300x300.png?v=1631075775,Pod Salt - Cola Lime Eliquid,Pod Salt,cola & lime,['70/30'],[3],[50]
https://vapegateae.com/collections/all-e-liquids/products/voug-iced-quad-mango-60ml,//vapegateae.com/cdn/shop/files/VOUG-vape-eliquid-ICED-QUAD-mango-60ml-abudhabi-dubai-uae-vapegate_300x300.png?v=1686575809,VOUG ICED QUAD MANGO (60ML),VOUG,"mango, ice",['70/30'],"[3, 6]",[60]
https://vapegateae.com/collections/all-e-liquids/products/naked-100-crisp-menthol-60ml,//vapegateae.com/cdn/shop/products/crisp_menthol_60ml_naked100_e_liquid_3197_1_d4110b317e3781e58ca2d8e6b9c922b4_300x300.webp?v=1660817583,Naked 100 - Crisp Menthol 60ml,Naked 100,menthol,['70/30'],"[3, 6, 12]",[60]
https://vapegateae.com/collections/all-e-liquids/products/naked-100-melon-60ml,//vapegateae.com/cdn/shop/products/Naked_MELON_Menthol_100ML_UPDATE_620x_b43e6eb5-28fb-46e3-bd2d-ec1a9f68a971_300x300.jpg?v=1612355651,Naked 100 - Melon 60ml / 50ml,Naked 100,"pineapple, cantaloupe and honeydew",['70/30'],"[0, 3]","[50, 60]"
https://vapegateae.com/collections/all-e-liquids/products/hawaiian-pog-naked-100,//vapegateae.com/cdn/shop/products/nkd100-2_03_300x300.png?v=1667967549,Naked 100 - Hawaiian Pog 60ml /50 ml,Naked 100,"guava, passion fruit and orange",['70/30'],"[0, 3, 6, 12]","[50, 60]"
https://vapegateae.com/collections/all-e-liquids/products/euro-gold-naked-100,//vapegateae.com/cdn/shop/products/nkd100_01_300x300.png?v=1664515724,Naked 100 - Euro Gold 60ml / 50ml,Naked 100,caribbean tobacco,['65/35'],"[0, 3, 6, 12]","[50, 60]"
https://vapegateae.com/collections/all-e-liquids/products/m-terk-terkish-tradition-e-liquid,//vapegateae.com/cdn/shop/products/3_15_300x300.jpg?v=1615125918,M.terk - Terkish Tradition E Liquid,M. Terk,"butterscotch, tobacco",['70/30'],"[3, 6, 12, 18]","[60, 120]"
https://vapegateae.com/collections/all-e-liquids/products/mango-aloe-blvk-hundred-eliquid,//vapegateae.com/cdn/shop/products/BLVK-Hundred-Eliquid-2_02_300x300.png?v=1665201900,Mango Aloe -  BLVK Hundred Eliquid,BLVK Unicorn,"mango, aloe vera, menthol",['70/30'],[3],[100]
https://vapegateae.com/collections/all-e-liquids/products/lemon-berry-pie-blvk-hundred-eliquid,//vapegateae.com/cdn/shop/products/BLVK-Hundred-Eliquid-2_03_300x300.png?v=1665201876,Lemon Berry Pie -  BLVK Hundred Eliquid,BLVK Unicorn,"mixed berries, lemon,custard, cream",[],[3],[100]
https://vapegateae.com/collections/all-e-liquids/products/strawberry-peach-ice-blvk-fusion,//vapegateae.com/cdn/shop/products/70056_300x300.webp?v=1676273553,Strawberry Peach Ice (Iced Berry Peach) - BLVK Fusion,BLVK Unicorn,"strawberry, peach, ice
",['70/30'],"[0, 3, 6]",[60]
